name,num,bagwight,time
贪心法,1000,10000,0.00
贪心法,2000,10000,0.00
贪心法,3000,10000,0.00
贪心法,4000,10000,0.00
贪心法,5000,10000,0.00
贪心法,6000,10000,0.00
贪心法,7000,10000,0.00
贪心法,8000,10000,0.00
贪心法,9000,10000,5.88
贪心法,10000,10000,6.00
贪心法,20000,10000,9.34
贪心法,40000,10000,16.00
贪心法,80000,10000,29.88
贪心法,160000,10000,59.98
贪心法,320000,10000,128.42
动态规划,1000,10000,98.12
动态规划,2000,10000,264.00
动态规划,3000,10000,315.34
动态规划,4000,10000,380.85
动态规划,5000,10000,546.34
动态规划,6000,10000,660.00
动态规划,7000,10000,721.99
动态规划,8000,10000,860.45
动态规划,9000,10000,986.24
动态规划,10000,10000,1888.45
动态规划,20000,10000,2412.34
动态规划,40000,10000,4382.11
动态规划,80000,10000,9884.00
动态规划,160000,10000,19630.45
动态规划,320000,10000,41262.00
蛮力法,15 ,10000,4.64
蛮力法,20,10000,155.00
蛮力法,25,10000,7348.88
蛮力法,1000,10000,NaN
蛮力法,2000,10000,NaN
蛮力法,3000,10000,NaN
蛮力法,4000,10000,NaN
蛮力法,5000,10000,NaN
蛮力法,6000,10000,NaN
蛮力法,7000,10000,NaN
蛮力法,8000,10000,NaN
蛮力法,9000,10000,NaN
蛮力法,10000,10000,NaN
蛮力法,20000,10000,NaN
蛮力法,40000,10000,NaN
蛮力法,80000,10000,NaN
蛮力法,160000,10000,NaN
蛮力法,320000,10000,NaN
回溯法,20,10000,11.34
回溯法,25,10000,320.34
回溯法,30,10000,15943.00 
回溯法,1000,10000,NaN
回溯法,2000,10000,NaN
回溯法,3000,10000,NaN
回溯法,4000,10000,NaN
回溯法,5000,10000,NaN
回溯法,6000,10000,NaN
回溯法,7000,10000,NaN
回溯法,8000,10000,NaN
回溯法,9000,10000,NaN
回溯法,10000,10000,NaN
回溯法,20000,10000,NaN
回溯法,40000,10000,NaN
回溯法,80000,10000,NaN
回溯法,160000,10000,NaN
回溯法,320000,10000,NaN

